,Suite,Tempo do Imóvel,academia,area_total,area_util,bairro,banheiros,churrasqueira,condominio,elevador,iptu,piscina,preco,quartos,salao_festa,tipo,vagas,Bairro
224,,,0,65,,Cerâmica,3,0,878.0,1,,0,430000,2,1,2,3,
225,,,0,80,,Jardim Sao Caetano,2,1,738.0,1,,1,495000,3,1,2,2,
226,,,1,264,,Olímpico,1,1,395.0,1,,0,1980000,3,1,2,1,
227,,,1,113,,Santo Antônio,2,1,410.0,1,,0,1130000,2,1,2,2,
228,,,0,61,,Fundação,1,1,447.0,1,,1,331000,2,0,2,1,
229,,,0,90,,Cerâmica,1,1,482.0,1,,1,990000,2,1,2,1,
230,,,0,106,,Santa Paula,1,1,478.0,1,,0,550000,3,1,2,1,
231,,,0,68,,Cerâmica,1,1,105.0,1,,1,6498000,2,0,2,1,
232,,,0,68,,Barcelona,2,0,351.0,1,,0,450000,2,0,2,2,
233,,,0,67,,Barcelona,2,1,568.0,1,,1,455000,2,1,2,2,
234,,,0,88,,Barcelona,3,1,430.0,1,,1,450000,3,1,2,3,
235,,,1,62,,Santo Antônio,2,0,535.0,1,,0,475000,2,1,2,2,
236,,,0,79,,Mauá,3,1,105.0,1,,1,495000,3,1,2,3,
237,,,0,150,,Centro,1,1,500.0,1,,1,630000,4,1,2,1,
238,,,0,61,,Osvaldo Cruz,2,1,19.0,1,,1,510000,2,1,2,2,
239,,,0,76,,Santa Maria,3,1,150.0,1,,1,4199000,2,1,2,3,
240,,,1,79,,Boa Vista,3,1,511.0,1,,0,700000,3,1,2,3,
241,,,0,55,,Olímpico,5,0,515.0,1,,1,2969000,2,1,2,5,
242,,,0,174,,Santa Paula,3,1,508.0,1,,1,990000,3,1,2,3,
243,,,1,65,,Boa Vista,3,1,550.0,0,,0,365000,2,0,2,3,
244,,,1,90,,Olímpico,2,0,450.0,1,,0,850000,2,1,2,2,
245,,,0,90,,Santa Paula,2,1,600.0,1,,1,650000,3,1,2,2,
246,,,1,180,,Santa Paula,2,0,385.0,0,,1,1200000,3,1,2,2,
247,,,0,67,,Santa Maria,1,1,561.0,1,,1,240000,3,1,2,1,
248,,,1,65,,Barcelona,2,1,14.0,1,,0,435000,2,1,2,2,
249,,,0,70,,Olímpico,1,1,775.0,1,,1,395000,2,1,2,1,
250,,,1,75,,Santa Maria,1,0,878.0,0,,1,460000,2,1,2,1,
251,,,1,160,,Santa Maria,2,1,738.0,0,,1,7499000,3,1,2,2,
252,,,0,84,,Santa Paula,2,0,395.0,1,,0,750000,3,1,2,2,
253,,,0,140,,Nova Gerty,2,1,410.0,1,,1,500000,2,1,2,2,
254,,,0,56,,Cerâmica,2,0,447.0,1,,0,459000,2,1,2,2,
255,,,0,68,,Cerâmica,2,1,482.0,1,,1,720000,2,1,2,2,
256,,,1,64,,Santa Maria,2,1,478.0,1,,0,390000,2,1,2,2,
257,,,1,65,,Cerâmica,1,1,105.0,1,,0,430000,2,1,2,1,
258,,,0,80,,Jardim Sao Caetano,2,1,351.0,1,,1,495000,3,0,2,2,
259,,,0,264,,Olímpico,1,1,568.0,1,,1,1980000,3,1,2,1,
260,,,0,113,,Santo Antônio,3,1,430.0,1,,0,1130000,2,1,2,3,
261,,,0,61,,Fundação,2,1,535.0,1,,1,331000,2,0,2,2,
262,,,0,90,,Cerâmica,3,0,105.0,1,,0,990000,2,0,2,3,
263,,,0,106,,Santa Paula,3,1,500.0,1,,1,550000,3,1,2,3,
264,,,0,68,,Cerâmica,3,1,520.0,1,,1,6498000,2,1,2,3,
265,,,1,68,,Barcelona,1,0,19.0,1,,0,450000,2,1,2,1,
266,,,0,67,,Barcelona,2,1,150.0,1,,1,455000,2,1,2,2,
267,,,0,88,,Barcelona,2,1,511.0,1,,1,450000,3,1,2,2,
268,,,0,62,,Santo Antônio,2,0,515.0,1,,0,475000,2,0,2,2,
269,,,0,79,,Mauá,1,1,508.0,1,,1,495000,3,1,2,1,
270,,,0,150,,Centro,3,1,550.0,1,,1,630000,4,1,2,3,
271,,,0,61,,Osvaldo Cruz,2,0,450.0,1,,1,510000,2,1,2,2,
272,,,0,76,,Santa Maria,1,1,600.0,1,,1,4199000,2,1,2,1,
273,,,1,79,,Boa Vista,2,1,385.0,0,,0,700000,3,0,2,2,
274,,,0,55,,Olímpico,1,1,561.0,1,,1,2969000,2,1,2,1,
275,,,1,174,,Santa Paula,2,0,14.0,1,,0,990000,3,1,2,2,
276,,,0,65,,Boa Vista,1,1,775.0,1,,1,365000,2,1,2,1,
277,,,0,90,,Olímpico,1,1,878.0,1,,1,850000,2,1,2,1,
278,,,1,90,,Santa Paula,2,1,738.0,1,,0,650000,3,1,2,2,
279,,,0,180,,Santa Paula,1,1,395.0,1,,1,1200000,3,1,2,1,
280,,,0,67,,Santa Maria,1,0,410.0,0,,0,240000,3,0,2,1,
281,,,1,65,,Barcelona,2,0,447.0,0,,1,435000,2,1,2,2,
282,,,1,70,,Olímpico,2,1,482.0,0,,1,395000,2,1,2,2,
283,,,0,75,,Santa Maria,2,1,105.0,1,,1,460000,2,1,2,2,
284,,,0,160,,Santa Maria,1,0,351.0,1,,0,7499000,3,1,2,1,
285,,,0,84,,Santa Paula,3,1,568.0,1,,1,750000,3,1,2,3,
286,,,1,140,,Nova Gerty,1,1,430.0,1,,0,500000,2,1,2,1,
