,tipo,bairro,area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,preco
290,2,Cerâmica,65,2,3,3,0,1,1,1,0,520.0,430000
291,2,Jardim Sao Caetano,80,3,6,6,0,1,1,0,1,19.0,495000
292,2,Olímpico,264,3,4,4,0,0,1,0,0,150.0,1980000
293,2,Santo Antônio,113,2,2,2,0,1,1,1,1,511.0,1130000
294,2,Fundação,61,2,2,2,0,1,1,1,1,515.0,331000
295,2,Cerâmica,90,2,4,4,1,0,1,1,0,508.0,990000
296,2,Santa Paula,106,3,2,2,0,1,1,1,1,550.0,550000
297,2,Cerâmica,68,2,2,2,0,1,1,1,1,1.0,6498000
298,2,Barcelona,68,2, -- , -- ,0,0,1,0,0,450.0,450000
299,2,Barcelona,67,2,1,1,0,1,1,1,1,600.0,455000
300,2,Barcelona,88,3,1,1,0,1,1,1,1,385.0,450000
301,2,Santo Antônio,62,2,2,2,1,1,1,1,0,561.0,475000
302,2,Mauá,79,3,2,2,0,0,1,1,1,14.0,495000
303,2,Centro,150,4,3,3,0,1,1,1,1,775.0,630000
304,2,Osvaldo Cruz,61,2,3,3,0,1,1,1,1,878.0,510000
305,2,Santa Maria,76,2,1,1,1,0,1,1,0,738.0,4199000
306,2,Boa Vista,79,3,4,4,0,1,1,1,1,395.0,700000
307,2,Olímpico,55,2,2,2,1,0,0,1,1,410.0,2969000
308,2,Santa Paula,174,3,2,2,0,1,1,1,1,447.0,990000
309,2,Boa Vista,65,2,1,1,1,1,1,1,0,482.0,365000
310,2,Olímpico,90,2,2,2,0,0,0,0,0,105.0,850000
311,2,Santa Paula,90,3,2,2,1,0,0,1,1,351.0,650000
312,2,Santa Paula,180,3,1,1,1,1,0,1,1,568.0,1200000
313,2,Santa Maria,67,3,2,2,0,0,1,1,0,430.0,240000
314,2,Barcelona,65,2,1,1,0,1,1,1,1,535.0,435000
315,2,Olímpico,70,2,2,2,0,0,1,1,0,105.0,395000
316,2,Santa Maria,75,2,2,2,1,1,1,1,0,520.0,460000
317,2,Santa Maria,160,3,2,2,1,1,1,1,0,19.0,7499000
318,2,Santa Paula,84,3,3,3,0,1,1,0,1,150.0,750000
319,2,Nova Gerty,140,2,1,1,0,1,1,1,1,511.0,500000
320,2,Cerâmica,56,2,1,1,0,1,1,1,0,515.0,459000
321,2,Cerâmica,68,2,1,1,0,1,1,0,1,508.0,720000
322,2,Santa Maria,64,2,2,2,0,0,1,0,0,550.0,390000
323,2,Cerâmica,65,2,1,1,0,1,1,1,1,1.0,430000
